name,city,kind,item_id,place_id,primary_type,business_status,is_lodging,lodging_types,all_types
Avila Spaces Parque Das Nacoes,Parque das Nacoes,Coworking Space,6809cff795ba1239c120e7d2,ChIJJ0csu7AxGQ0R2IBBZx8hU-M,Business center,OPERATIONAL,,,"business_center, coworking_space, real_estate_agency, corporate_office, point_of_interest, service, establishment"
Avocado Resto,Medewi,Cafe,67a956430e939dfa15213318,ChIJxYT2x6vV0y0RnwsY8EfBhdI,Restaurant,OPERATIONAL,,,"restaurant, food, point_of_interest, establishment"
BO.KA Workspace,"Old Town, Paphos",Coworking Space,68a2fa296ea37c7e45863609,ChIJS-wpQr8H5xQRY9WdewfuHTU,Coworking space,OPERATIONAL,,,"coworking_space, business_center, service, point_of_interest, establishment"
BOB Coffee,Chang Phueak,Cafe,67d0057f7ff194b7a30e5b59,ChIJPVCRjZE72jARsC3ny39S-KY,Coffee shop,OPERATIONAL,,,"coffee_shop, coworking_space, cafe, food_store, store, food, point_of_interest, establishment"
BREKKY Cafe Pererenan,Pererenan,Cafe,679c5e8ec8a9859eed886315,ChIJ9dakCho50i0RjqjQLKthFB0,,ERROR:404,,,
BWork Cafe,Canggu,Cafe,65fa86d0e0379bf78d5245a6,ChIJ6fBvIpg50i0R8764BCFFN60,Coworking Space,OPERATIONAL,,,"coworking_space, yoga_studio, fitness_center, coffee_shop, cafe, gym, sports_school, sports_complex, sports_activity_location, food_store, food, store, health, event_venue, point_of_interest, establishment"
BWork Members Area,Canggu,Coworking Space,65fa86d0e0379bf78d524490,ChIJ6fBvIpg50i0R8764BCFFN60,Coworking Space,OPERATIONAL,,,"coworking_space, yoga_studio, fitness_center, coffee_shop, cafe, sports_school, sports_complex, gym, sports_activity_location, food_store, event_venue, store, health, food, point_of_interest, establishment"
Baan Manali Beach Café,Nai Wok,Cafe,6784e2178dc303e48a2184d4,ChIJX9yaGLX_VDARI1ARJzUI2bA,Brunch restaurant,OPERATIONAL,,,"brunch_restaurant, restaurant, point_of_interest, food, establishment"
Baguccino,Pererenan,Cafe,69c349f3cc1ef85a9098c404,ChIJc0DutUg50i0RL9jFBF4bX10,Coffee shop,OPERATIONAL,,,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment"
Bake Brothers,Sukhumvit (Asoke),Cafe,674b379f207c69628c4cecfb,ChIJb_Omn-Oe4jARjgJcHXp-b0M,Restaurant,OPERATIONAL,,,"restaurant, food, point_of_interest, establishment"
Bake Sense coffee,Wok Tum,Cafe,6784e2109557868af88b30b6,ChIJFxfBExL-VDARnjbKOrsJBHw,Cafe,OPERATIONAL,,,"cafe, food, point_of_interest, establishment"
Baked Berawa,Berawa,Cafe,65fa86d0e0379bf78d5245ac,ChIJU0lp4SNH0i0R7x72tr13TmY,Bakery,OPERATIONAL,,,"bakery, bagel_shop, pastry_shop, breakfast_restaurant, dessert_restaurant, brunch_restaurant, coffee_shop, cafe, dessert_shop, confectionery, food_store, store, restaurant, food, point_of_interest, establishment"
Balagan,Central,Cafe,682f68cfdfdebe7cbc3a4acc,ChIJJ8sswvEnHw0RwyCFK4eSBlA,Restaurant,OPERATIONAL,,,"restaurant, bar, cafe, food, point_of_interest, establishment"
Balance Specialty Coffee,Wok Tum,Cafe,6784e211b7f8692649cd1f17,ChIJIZrIMyr9VDAR8Tywkk89kHE,Cafe,OPERATIONAL,,,"cafe, food, point_of_interest, establishment"
Bali Bustle Coworking & Coliving,Kuta (Bali),Coworking Space,6631cb0d5be6e2bfb1874f04,ChIJ_8ZN7HlH0i0R9SVLx2VoD3M,Hotel,OPERATIONAL,YES,"extended_stay_hotel, hotel, lodging","hotel, extended_stay_hotel, coworking_space, lodging, service, point_of_interest, establishment"
Baltic Cowork,Kesklinn,Coworking Space,67dbb82e05b2a7fae38f8129,ChIJ4eQVPQSVkkYRH04LKAKP19k,Coworking space,OPERATIONAL,,,"coworking_space, point_of_interest, establishment"
Banana Rock,Ao Leuk,Cafe,67c195482ceb224f64c7a4f2,ChIJYZXHGYGhVTARdX18R8Zk4PA,Bar,OPERATIONAL,,,"bar, point_of_interest, establishment"
Baoba Cafe Bica,Bica,Cafe,67dbb82a6de5ed125908b36c,ChIJHQJg3hY1GQ0RT6SJsiKwTvI,Cafe,OPERATIONAL,,,"cafe, brunch_restaurant, cafeteria, coffee_roastery, restaurant, food, point_of_interest, establishment"
Bartels Sukhumvit,Sukhumvit,Cafe,674b379f04fee7c9b3adfd79,ChIJvQVc8Quf4jAR-bvn--T1QiM,Bakery,OPERATIONAL,,,"bakery, juice_shop, coffee_shop, coworking_space, cafe, sandwich_shop, food_store, store, restaurant, food, point_of_interest, establishment"
Bay Aree,Ari,Cafe,674b379f31a2fd6ff89b722c,ChIJL6oMxRid4jARO32aVKwK_9Q,Cafe,OPERATIONAL,,,"cafe, food, point_of_interest, establishment"
Beachub,Srithanu,Coworking Space,6784e2104f1f500b3ca69c90,ChIJkZoQvtgBVTAR6fZuHLksTig,Services,OPERATIONAL,,,"coworking_space, service, point_of_interest, establishment"
